Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1nF","C_0402_1005Metric",54.5000,-56.2500,180.0000,top
"C2","100nF","C_0402_1005Metric",54.5000,-55.0000,0.0000,top
"C3","1uF","C_0402_1005Metric",56.1000,-48.5500,180.0000,top
"C4","1uF","C_0402_1005Metric",56.1000,-51.6320,180.0000,top
"C5","100nF","C_0402_1005Metric",47.0000,-49.7500,90.0000,top
"C6","100nF","C_0402_1005Metric",44.9200,-46.8000,0.0000,top
"C7","1uF","C_0402_1005Metric",44.9000,-45.5500,180.0000,top
"FPC1","0.5K-1.2W-10PWB","CONN-SMD_10P-P0.50_0.5K-1.2W-10PWB",50.0000,-32.1875,180.0000,top
"FPC2","0.5K-1.2W-10PWB","CONN-SMD_10P-P0.50_0.5K-1.2W-10PWB",50.0000,-40.3625,0.0000,top
"J2","Conn_01x04_MountingPin","Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical",50.0000,-61.1343,0.0000,top
"J5","XKB-USB-C16PIN","XKB-USB-C-16P",41.2756,-23.1000,-90.0000,top
"R1","1k","R_0402_1005Metric",54.5000,-53.5000,180.0000,top
"R2","5.1k","R_0402_1005Metric",44.2500,-24.8500,180.0000,top
"R3","5.1k","R_0402_1005Metric",44.2500,-21.1000,180.0000,top
"S1","MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM","TACTILE_SWITCH_SMD_4.6X2.8MM",49.9500,-20.3500,0.0000,top
"U1","ATSAMD21E17D-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",50.0000,-55.3500,-90.0000,top
"U2","TMC6300-LA-T","QFN40P300X300X90-21N",44.0000,-50.0000,0.0000,top
"U3","MA730","QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm",50.0000,-50.0000,90.0000,top
"U4","LDK130PU33R_DFN6","DFN-6_1.3x1.2mm_P0.4mm",56.1000,-50.1320,90.0000,top
"U5","USBLC6-2P6","SOT-666",45.5000,-23.1000,180.0000,top
